#{"t_start": 1623052419.4273233, "env_id": null}
r,l,t
-2532.053396,65,0.100101
-710.955538,18,0.131345
-681.926249,18,0.169093
-14.737284,3,0.231586
-1914.466586,145,4.178969
-19.053122,3,4.249705
-11.016555,3,4.340442
-25.034506,3,4.411198
0.278912,1,4.441421
-48.292489,5,4.572877
-7.1869,2,4.623314
1.103754,1,4.663717
-6.948979,2,4.714178
-20.690379,3,4.784925
-14.068344,3,4.896006
1.793034,1,4.916178
-30.564313,4,5.01706
-18.922958,4,5.138042
-19.15311,3,5.228692
0.269854,1,5.248859
-17.266855,2,5.309349
-9.032851,2,5.359808
0.288047,1,5.40023
0.195281,1,5.420383
2.033878,1,5.450692
-22.701196,3,5.521496
-4.421227,2,5.582042
-4.82989,2,5.642494
-6.653297,2,5.701127
-20.41418,4,5.81423
0.871907,1,5.844464
1.040176,1,5.864628
-10.466839,3,5.955474
-6.085767,2,6.016039
-114.347397,15,6.409579
-51.387221,7,6.609493
0.530464,1,6.631785
-11.950169,2,6.690465
-6.669858,2,6.742957
0.456919,1,6.783347
-17.973123,3,6.864429
-6.580261,2,6.933056
-28.24034,3,7.025814
-23.217446,4,7.146676
2.310062,1,7.174865
0.916048,1,7.217227
2.307366,1,7.237389
0.687311,1,7.297915
2.314956,1,7.328184
0.907493,1,7.378595
-10.221441,2,7.439134
0.855147,1,7.469438
-3.9687,2,7.540266
0.665454,1,7.58063
-42.188588,4,7.70172
1.998521,1,7.729975
-12.308004,2,7.792599
-97.838175,11,8.15641
-3.58205,2,8.21691
-11.210344,2,8.277443
2.760948,1,8.305804
2.340601,1,8.338116
-41.730015,5,8.509554
2.262424,1,8.549894
-12.070059,3,8.630591
